recipient_id,recipient_name,category,subcategory,book_title,publisher,award_status,year,location,publication,show,company,restaurant_name,project
25531,Jose Avila,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Denver, Colorado",,,,El Borrego Negro,
25533,Eric Skokan,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Boulder, Colorado",,,,Black Cat Farm Table Bistro,
25512,Jesse Ito,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Philadelphia, Pennsylvania",,,,Royal Izakaya,
25538,Cody Cheetham,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Denver, Colorado",,,,Tavernetta,
25579,Courtney Loreg,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Portland, Maine",,,,Woodford Food & Beverage,
25555,Blake Aguillard,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New Orleans, Louisiana",,,,Saint-Germain,
25556,Isaac Toups,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New Orleans, Louisiana",,,,Toups’ Meatery,
25558,Timothy Hontzas,Restaurant & Chef,Best Chefs,,,Nominee,2022,"Homewood, Alabama",,,,Johnny's Restaurant,
25559,Trey Smith,Restaurant & Chef,Best Chefs,,,Nominee,2022,"New Orleans, Louisiana",,,,Saint-Germain,
25439,John Russ,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Castle Hills, Texas",,,,Clementine,
25600,Macarena Ludena,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"West Hartford, Connecticut",,,,Cora Cora,
25802,Diana Dávila,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Chicago, Illinois",,,,Mi Tocaya Antojería,
25430,Alex Au-Yeung,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Katy, Texas",,,,Phat Eatery,
25431,David Kirkland,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seguin, Texas",,,,Burnt Bean Co.,
25432,Damien Brockway,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Austin, Texas",,,,Distant Relatives,
25433,Sylvia Casares,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Houston, Texas",,,,Sylvia's Enchilada Kitchen,
25434,Ernest Servantes,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seguin, Texas",,,,Burnt Bean Co.,
25436,Felipe Riccio,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Houston, Texas",,,,MARCH,
25437,Finn Walter,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lubbock, Texas",,,,The Nicolett,
25440,Matt McCallister,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Dallas, Texas",,,,Homewood,
25441,Misti Norris,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Dallas, Texas",,,,Petra & the Beast,
25442,Regino Rojas,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Dalls, Texas",,,,Revolver Taco Lounge,
25443,Koji Yoshida,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Plano, Texas",,,,EBESU Robata & Sushi,
25444,Kaiser Lashkari,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Houston, Texas",,,,Himalaya Restaurant,
25438,Anastacia Quiñones-Pittman,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Dallas, Texas",,,,José,
25429,Aaron Bludorn,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Houston, Texas",,,,Bludorn,
25560,Abel Mendoza,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Rincón, Puerto Rico",,,,Estela,
25493,Aaron Vandemark,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Hillsborough, North Carolina",,,,Panciuto,
25799,Anthony Lombardo,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,SheWolf,
25752,Marie Yniguez,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Albuquerque, New Mexico",,,,Bocadillos,
25593,Patricia Estorino,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Cambridge, Massachusetts",,,,Gustazo Cuban Kitchen & Bar,
25521,Bill Hoffman,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Hockessin, Delaware",,,,The House of William & Merry,
25809,Kate Williams,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,Karl's,
25545,Mawa McQueen S,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Aspen, Colorado",,,,Mawa's Kitchen,
25850,Nick Curtola,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Brooklyn, New York",,,,The Four Horsemen,
25812,Rodolfo Cuadros,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Chicago, Illinois",,,,Amaru and Bloom Plant Based Kitchen,
25832,Melissa K. Perello,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"San Francisco, California",,,,Octavia,
25814,Paul Fehribach,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Chicago, Illinois",,,,Big Jones,
25792,Ryan Nitschke,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Fargo, North Dakota",,,,Luna Fargo,
25815,Amanda Franke,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,Marrow,
25833,Srijith Gopinath,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Palo Alto, California",,,,Ettan,
25794,Carl Thorne-Thomsen,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Prairie Village, Kansas",,,,Story.,
25816,Thomas Melvin,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Indianapolis, Indiana",,,,Vida,
25806,Michael Ransom,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,ima,
25813,Nadia Nijimbere,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,Baobab Fare,
25791,Robert Connoley,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Saint Louis, Missouri",,,,Bulrush,
